To-Be Workshop - Demand - MRO EPC planning - Session 1 
mar, 15 de oct de 2024

0:01 - Unidentified Speaker So I can sit on my run. You.
1:39:58 - Hector Palacios (ADNOC Group D&CS) All right. We are on. Good. So if you're having any questions, just interrupt me. I think that now we go to the statistical forecast part. So hopefully, this is not going to be repetitive. Just in case if we have anyone new, I would like to explain what is a statistical forecast. And then let's discuss how we can do it for this case in which most of the information doesn't have a consumption history. The whole idea of the statistical forecast is to look to the history, find a pattern, replicate, and to extrapolate that behavior into the future. It's very simple. This isn't our simplification, of course. This is not how every model is going to be working, but it's very good for understanding what we are trying to achieve. So the historical consumption will have different First of all, we have a baseline that is like the average number that we have, we are consuming. Also can happen to intermittency, right? That is going to be the most common scenario, yes. And in some cases also can have an increasing trend or decreasing trend and even can have a seasonality that in certain months of the year, for example, the consumption can be higher than in other periods. So if there is something like that, our models should be able to handle that behavior. On ADP, we have different algorithms that we group into models to forecast the demand. And different algorithms are going to be in different levels of sophistication, let's say. There are some algorithms that are very, very simple, like a simple average. But you would be surprised that in some cases, In the other case, we have some very advanced algorithms like the automated exponential smoothing, like the grain boosting decision trees that are machine learning. And they are able to forecast, of course, more scenarios. So here we have a very basic table in which you can see that different algorithms can forecast different kinds of demands, right? So we have intermittent demand. So we have all these algorithms that are going to be able to help us We have constant demand, that is just a flat number. We are consuming basically in every period. Algorithms that are going to be able to forecast trends, seasonality, and some others that are even able to bring into the equation some independent variables that can affect the demand. So IBP is going to take all these algorithms, and automatically it's going to decide which one we are going to use for each And by combination, I mean, for example, the plant location information, that being the plant or the MRP area, and the material. So for different combinations, we have different algorithms and IVPs doing that optimization of deciding which one is the best fit for each case. So this is going to be done in two cases. First of all, as you saw in previous sessions, We have a demand pattern recognition that is a machine learning feature that we have on IVP that is able to detect if we have intermittency, if we have continuous demand, seasonality, and so on. Sorry for that. So that is going to be our first layer of decision. So if we already detect that something is intermittent, then we are not going to use a simple average. Because that is not going to replicate the behavior of that particular combination, right? So that is the first layer. And then when we filter to the models that are able to replicate the demand, like for example, for intermittent we have these six algorithms, then IVP will calculate based on a fit error measure, what is the best one that is, what is the one that is adapting test to the historical values so we can use it for forecasting the future. Okay. If I jump quickly.

1:44:15 - Vignesh Perumal (ADNOC Group D&CS) Are these like the MRP types in the IBP? Like are you going to say for this material, we need to use this algorithm. For this material, we need to use this algorithm. Is that what is going to happen?

1:44:29 - Unidentified Speaker Exactly.

1:44:30 - Hector Palacios (ADNOC Group D&CS) That is what I want to say. So we are forecasting at the location level and material level. For any of those combinations, we are going to decide, well, IBP will decide automatically which one is the best algorithm based on all that you are seeing here.

1:44:51 - Vignesh Perumal (ADNOC Group D&CS) So IBP will make the decision for which is the best algorithm based on the material. So we don't need to, like SAP HANA, we have to put per material. Whether we need to use v1, vb, pd, but we don't need to do that. Algorithm A will assess what is the best one. That means, correct?

1:45:12 - Hector Palacios (ADNOC Group D&CS) Yeah, I don't know if we are talking about the same there. Here is just to forecast the demand in the future. We automatically will decide which of the algorithms is going to be better. They are related to the MRP type. That is another discussion we think. That is more related to the that we are having in the next week.

1:45:32 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So Hector, it is not related. Vignesh is just trying to make it relatable that similar to what happens in MRP, this is kind of a similar data. But MRP, it is a manual input, whereas in IVP, it is IVP defines the algorithm automatically. So I don't think we'll need any further discussion on this.

1:45:51 - Unidentified Speaker You can continue. Just one question. Is it can manual? Choose to audit IVP automatically. Always does that. I mean, it's an option configure.

1:46:01 - Conference Room (MM- SKEC2 - L08) - Speaker 4 Yeah, you can do it, but it's not recommended because it will take a lot of time.

1:46:05 - Hector Palacios (ADNOC Group D&CS) Yeah, you have too many combinations. I guess if you want to focus on maybe if you want to focus on the most critical ones and for those maybe you want to assess different options. And it's a possibility we have done is very common, but it depends if you want to focus on that manually It's also a possibility. All right, so the system is going to look like this. There is a lot happening in the background, of course. And you will see some values here. Sorry, I lost my, I don't see my mouse here. Maybe if I go to the presentation. Now I can see. Good, so we will have a view. This one specifically, in which we have the historical information, like the consumption. We are going to get there. Let's assume that we have the historical consumption of this item. And then in another line, we are going to generate automatically the statistical forecast. So this is going to be for the future, as you will see here. It's forecasting some numbers based on the historical patterns that we have on the past. This is a job This is an algorithm that we run from here. So this is our forecasting. So we specify some parameters, the model that we need to use. And this will be triggering the automatic selection and all the things that we were discussing before. It's something that can be very simple to run. I mean, we can leave it with the parameters, raise it up, and so on. So you just run it. You don't need to worry about many things. But it's a common practice for us that this is something that the planner runs manually every month, right? If you ask me if we can scale this, that is a possibility for sure. But usually, as the planning cycles, we are not having the working days for the statistical forecast are not exactly the same on each month. So maybe it's better to do it manually. And from that moment started, all the demand planning process, but also can be scalable if we find a very solid pattern that we need to run this, I don't know, the second Monday of every month, then we can scale that as well. It's a possibility. So that is how it's going to be. You generate a number, and as soon as the algorithm runs, you will see this number updated, and that is your new base to start the whole demand planning process. Now, we have a big point here. That is something that, as we were saying at the beginning, we still don't have the final solution for this. It's related to how we do it for the new parts. Because for the new parts, the problem is that you don't have history. And for ETC, it's going to be the general rule. We understand that it's like 99% the cases that we don't there are new materials and they don't have of course histories or how we are going to generate a forecast. So regardless of how we get to this point to the references, it's a must that on IVP, if you don't have history, you need to use references materials. So if you have a valve, for example, that is going to be new, maybe you have three that are similar and you want to use the the historical consumption of these ones to make up a fake history for you so we can run the forecast on IBP. So how to decide which ones, that is another discussion. We need to explore a little bit on that, but that is what we need to do either way. So in this case, for example, if we have continuous semantics, it's more simple because you just take like an average of the similar materials, and you create a history for your new SKU, right? And you can forecast based on this information. Very simple. So it's just a matter to get the fake or fictitious history in place so we can follow up the normal process that we follow for every MRO, right? When we have intermittent demand, it's a little different because cannot just calculate an average, it's not going to do good for sure. So what we do in this case is that for every consumption pattern that we see here, there is something like a mean time between failure, that is like an average every how many weeks we are having a failure. So this is an average number that we can get. Also the quantity, so how much we are ordering or using each time, that is also something that we get get for every combination. So once we get that information, we can calculate intermittent forecast by calculating the mean time between failures, between the references, and also the amount quantity average between the references. And we can use that as a starting point for our new parts. So that is going to be the approach, depending on if it is continuous or if in intermittent, it's going to follow the same logic using reference materials to be able to create our historical consumption, but in different ways because they behave differently. Now, what happens when we start having history? Because you are starting your operating in this new project, so you will start consuming some materials, and at one point you will So at the beginning, the problem is that it's not going to be enough, right? You will have some months maybe of history or maybe one year. It's not usually what we need for forecasting. We need more information. We need three years, five years. You have a good forecast with enough data points. So for the beginning, it will continue the same. So we will use the reference materials. We have the fictitious history. But from one moment onwards, we are going to start using the own history of the material. So it's going to be like a composed history, let's say. And based on that, we will create a statistical forecast. That is the way to go in these cases. On the system, if I show you really quickly, we have an example of a new part replacement. So here you have your material part. Let me hide this. You have this material part. And then in the future, for example, if this to be replaced by another one, we have the code here. So if you realize, of course, the new material doesn't have any history. And we cannot create a forecast using their own history. So we are borrowing the history from this other material that is exactly the same. And we have our replacement date as well. So this is going to happen between February and March. Of course, at the beginning, you need to decrease to zero stock that you have on the old material, and then you are also start increasing the consumption of the new one. So there is a kind of phase in, phase out, phase for each material correspondingly. And you will, when you create the forecast, IBP can take all this information into consideration that for the current material, for example, you grade the forecast and you will have it until March. And then for the new material, you start from February. You see that the of the beginning is lower, but then it's higher, the opposite case on the old material, and then you do the complete switch to the new material and you start planning the new one. So, for the completely new materials that we have on EPC project, it's going to be a similar case, only that you will not do the phase-out of an old material for a new one, you will create the demand for a new one and maintain the demand for the other ones, because this is not a replacement, it's just that we are using the reference information to create the forecast for the new ones. So, this is going to be the input for demand planning. As I told you, as soon as we are able to find the consumption history – sorry, base our consumption history on similar materials, we are able to proceed of the demand planning process like always, like any other material is going to be the same. It's just this additional that we need to have at the beginning to define the history. So that's it. I don't know if you have any questions about this. What we wanted to understand on our side, at least, if you have any questions, just interrupt me. But as we see that this is going to be a difficult process to identify, because the standard in IEPs is that the planner is identifying what are the reference materials that we can use for each case. Now, the case is that we have too many materials right now, and this is a task that seems that cannot be done manually. So while that is a challenge that we need to solve, how is something that we still need to explore. But what we would like to do right now is to understand how you are dealing with this right now, because right now you have the same problem, and you need to create Inventory policies for this, you need to create a purchase through decisions and all of that. So you need to start from a demand plan, I guess, for these new materials. And the question is how you are dealing with this as you don't have consumption history based on which you are basing your forecast. I don't know who can speak about it.

1:56:14 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So, Khalid, Inventory Planner does this analysis of which is the new material and what should be the parameters for the new material, right? So, anyone can help us understand how it is happening today where Prathviraj, you want to take this?

1:56:36 - Prathviraj Anchan (Borouge) What exactly Nishant?

1:56:37 - Unidentified Speaker Sorry. No, I when you're.

1:56:43 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Defining that there are a lot of new material to get are getting created through the EPC program EPC project, which means that inventory planner has to identify what is the new material, define all the reorder point parameters, safety stock parameters or identify what is the similar model which with which reference with which you will try to create this parameters for the new model. So how what is happening today? How are you doing this today physically considering that the same challenge lies that thousands of models are getting created? How inventory planner is able to manage and all these parameters for new materials and how they are how you are forecasting the procurement proposal for future.

1:57:31 - Prathviraj Anchan (Borouge) Yeah so whenever the new material is created for any new project based on the EPC recommendations by the EPC contractor he will first of all it will be reviewed and known that this there is already a material number which is existing in case it is existing and by the SAP code itself he will come to know which are the equipments it is attached to and what is the bomb and other details in the existing system and also the MRP levels if it is already existing. So based on that with the existing data which is there for that material and for the additional equipments and bomb to which it will be attached he will based set parameters which are required for setting MRP levels for a given item he will review the whole process once again and decide what should be the optimum MRP levels considering the existing requirements as well as the new requirements. And if it is a new material then again based on what the material is I mean the same parameters the material nature, the usage, criticality and all other factors. Numbers, he will decide that what will be the optimum levels.

1:58:53 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So, is there any formula or is there any step by step process he needs to or any excel sheet a planning sheet where he inputs like what is the nature usage criticality and system like how the exact value is determined. I understand nature usage and criticality are some of the inputs but then.

1:59:12 - Prathviraj Anchan (Borouge) The factors the factors which have been listed in the procedure will help him arrive at that decision. So, criticality is already defined while using that matrix, the matrix which is there in the procedure. So, criticality is already there which is assigned by cataloging. So, either it is vital, essential, desirable. If there is there will be a indicator for that and the rest of will be usage data and lead time and others. So he will make so basically all this data he will review while defining the MRP levels which has already been reviewed by maintenance as well as to what should be the recommended MRP levels.

2:00:02 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yeah so you talked about the nature criticality and but then when you how do you identify what What are different parameters are looked into? Is this part of the same equipment? Is this having the same description? Is it having the same usability in terms of physical usage on machine? What are the parameters which help you identify that, okay, this is the reference model which is already available in S4 HANA?

2:00:33 - Prathviraj Anchan (Borouge) That part is already seen done by cataloging, who's slightly different from inventory. Just to understand so they will check for any duplicates for existing materials and they will do that part and they will identify and say that this material is already existing and this is the SAP code which is there for that.

2:00:54 - Conference Room (MM- SKEC2 - L08) - Speaker 1 But when it says when once it is identified as new after that how do you identify that okay this this material does not exist but then material ABC is the closest material to this material.

2:01:07 - Prathviraj Anchan (Borouge) No, no, no. Logging has done their part of ensuring that there is no duplicate then it is a new material and there is no further review again repeated to ensure that you know something is close to it. Then based on the inventory parameters which is listed in the procedure for defining the MRP levels it will be set and the recommended quantities obviously by the manufacturer which has already been reviewed by maintenance.

2:01:33 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Whatever the manufacturer if I can summarize. If it is a new material, whatever the manufacturer has recommended, ADNOT will follow the recommendation.

2:01:44 - Prathviraj Anchan (Borouge) If there is a doubt which has there like let us say the equipment attached is 4, particular spare is attached to 4 equipments.

2:02:04 - Prathviraj Anchan (Borouge) manufacturer has recommended 8 be kept in stock, there will always be a query back saying that why 8, maybe 2 is enough or 4 maximum should be enough.

2:02:17 - Conference Room (MM- SKEC2 - L08) - Speaker 2 But this, this review or this, how would the inventory controller or planner analyze this, like based on what?

2:02:29 - Unidentified Speaker Based on their conscience.

2:02:30 - Conference Room (MM- SKEC2 - L08) - Speaker 2 experience or it's there is negotiation only negotiation or.

2:02:37 - Conference Room (MM- SKEC2 - L08) - Speaker 7 I think the main question is if it needs to be automated or any attempt to make certain logic. We need to understand today what has been the key. Criteria to make that right decision. I mean, maybe again experience. I think this is related to this one. Because if we need to automate anything, it has a rule or a foundation at the beginning. And that's what the team is trying to understand.

2:03:10 - Prathviraj Anchan (Borouge) It's a complicated combination of factors, right from the equipment it is attached to, criticality of the equipment, criticality of the spare part, the estimated usage for the spare, nature of item itself. So, these are the factors which are also listed in the procedure when you are setting up MRP levels. So, based on all of this and the experience of the inventory controller, which is basically because equipment behaviors can be different, spare consumption behaviors can be different, all of these factors is what will go into making that final recommendation.

2:03:50 - Conference Room (MM- SKEC2 - L08) - Speaker 7 Okay.

2:03:50 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So, I think Rahul, we need to have as an action just separate discussion So we've already come to the time limit for today's workshop, but then we have a follow-up workshop in an hour. We can spend probably half an hour to 45 minutes on this. I think we will have time to cover this. You'll have some material. We will have some time to look at this specific point as part of today's workshop. Considering we have reached to a certain point, discussed upon the process. We are looking at the forecasting parameter. Let's spend that half an hour to 45 minutes to understand what...

2:04:29 - Conference Room (MM- SKEC2 - L08) - Speaker 7 Suggestion, Rahul, sorry to cut you off. Let's finish. I want to make sure by the end of the mission, we finish the original material. Sorry, the core material. The remaining time will use for this.

2:04:39 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes, that's what the plan is. We'll finish the agenda, but I feel we will have time to have this discussion today only. And then we'll finish.

2:04:46 - Conference Room (MM- SKEC2 - L08) - Speaker 7 Might be another topic that pops up and requires attention. So let's just get it.

2:04:53 - Conference Room (MM- SKEC2 - L08) - Speaker 1 So let's conclude this session. It's already 1201. Will come back again at 1 PM and then continue the discussion from there for the same topic.

2:05:03 - Unidentified Speaker Thank you, thank you, thank you. Thank you.

2:05:07 - Vignesh Perumal (ADNOC Group D&CS) you Hmm.

2:19:35 - Unidentified Speaker you
