Inventory Planning & Inventory Excellence - Drilling 
lun, 23 de sep de 2024

0:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Oh.
1:30:49 - Rahul Patel (ADNOC Group D&CS) just one I'm just trying to clear one understanding probably Khalid you can also help me here so when it is MRO our the primary object is we are trying to optimize inventory so that we have sufficient stock where we don't stop the plants because of insufficient inventory at the same time we make sure that we are optimizing our inventory through the processes of IBP but when it comes to drilling there is no inventory optimization per se because we are just requirements coming through multiple wells, optimizing the entire procurement process, considering now that everything can be on the same place, and then fulfilling those wells in time through EMI. Is that correct when we say from an IBP perspective?

1:31:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I know. Actually, there is some catch. Now, maybe I'll open another document. Here, even though it is a VMI, so we have already seen it's a stock is ad-hoc, isn't it? If there is any like non-consumption happened, it's impact ad-hoc stock value. Then similarly, we have OCTG, we called open-end and close-end. So I'll open the OCTG manual, same like what we second.

1:32:16 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Basically, if a VMI material, if we procure it and we receive it, we receive it in our store, it's no more a VMI material, it becomes an ad hoc inventory. It came through a VMI agreement, it came through, but it becomes a part of the ad hoc invented now.

1:32:46 - Conference Room (MM- SKEC2 - L08) - Speaker 2 And then we need to make sure it's consumed and then it's properly maintained or optimized.

1:32:56 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So the optimization part is required. That's what I'm writing. Now the similar one. This is for the VMI. Okay, so it will mention in the title CTG VMI operation manual. Now here, these are the three suppliers. We have three, Tenerife, Polaric and Maribyne. This is established in 2019. The first VMI, so it's only going to expire now. And now this is the process, same thing written here clearly shown. We explained, but the payment only happening at JT. So I'll just go through one part where I will highlight here. This is the one. Title transfer. Okay, so we have open-end and close-end. The open-end meaning the standard product where supplier can utilize in other area. Suppose if there is a known usage in AdNoc, supplier can sell to others, other country or other customers.

1:34:15 - Rahul Patel (ADNOC Group D&CS) Open market.

1:34:17 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Open market. So because it's not our material, it's not owned by AdNoc, so they have to... It is a catalog item. Pardon me?

1:34:25 - Rahul Patel (ADNOC Group D&CS) It is a catalog item which can be sold to anyone.

1:34:29 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, it's a catalog and as part of the VM agreement, suppose we plan for this month and there's no consumption. So somehow the well changed for next three years, this well is not coming. The material becomes surplus. This surplus material, vendor can sell out after the confirmation from the company. This is what the agreement says. Anyhow, so we can find the detail here. This is called open-end. Another one we called closed-end. Closed-end meaning this is very specific to ADNOC. So they manufactured only for ADNOC. So if non-usability, they cannot sell out. So that's the reason we already identified in the beginning during the tender process. So we already marked which are the material closed-end, which are the material open-end. And closed-end, if there is no consumption after 12 months, So, supplier can transfer the ownership to AdNoc. So, they can invoice it.

1:35:33 - Unidentified Speaker Okay.

1:35:36 - Rahul Patel (ADNOC Group D&CS) Either you request it or after 12 months you transfer the ownership.

1:35:42 - Unidentified Speaker Exactly.

1:35:43 - Rahul Patel (ADNOC Group D&CS) Either it goes consumed through material reservation and if there is no reservation for 12 months then it will automatically get transferred to AdNoc.

1:35:52 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Exactly. How do you do that? After 12 months, you have to do the GRN, right?

1:35:58 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) How do you invoice it? Yeah, we have to do GRN, exactly.

1:36:01 - Conference Room (MM- SKEC2 - L08) - Speaker 2 We have to do GRN and bring it into the ADNOG inventory.

1:36:05 - Unidentified Speaker Inventory.

1:36:07 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Inventory, okay. Yeah. And one more catch. After 18 months, supplier can hand over the material to ADNOG physically.

1:36:23 - Conference Room (MM- SKEC2 - L08) - Speaker 2 So in 12 months, they are only doing the JRN, although physically the material is with VMI store only. However, after 18 months, they should not keep it in their store. They will put it into the ad hoc stores, warehouse.

1:36:45 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly.

1:36:48 - Rahul Patel (ADNOC Group D&CS) So a VMI can be maximum 18 months, can be there stock physically a metal can be.

1:36:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah for OCTG. For ad-hoc materials.

1:36:56 - Conference Room (MM- SKEC2 - L08) - Speaker 2 For this category for ad-hoc closed-ended materials only.

1:37:01 - Rahul Patel (ADNOC Group D&CS) Open-ended can go back to he can buy he can sell it to others.

1:37:06 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) He can sell it to others.

1:37:07 - Rahul Patel (ADNOC Group D&CS) So can you Can you explain the inventory optimization part you're trying to say here?

1:37:21 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, here see whatever coming under the ad hoc. So we want to ensure so there is a utilization plan as per the map and all. So whatever we are checking manually, it has to through IBP. That's reason we want to clear requirements. We want to catch all the like data like what we have seen the bar chart and basket. And we want to convert to the map then we have to cross check with the current stock so on and the order booking what are the pure release we are issuing we are only issuing the pure release the required quantity these are we are expecting from IBP.

1:38:01 - Rahul Patel (ADNOC Group D&CS) So you need a clear end to end visibility from demand to procurement to inventory both vendor and self-managed based upon the well mapping plan.

1:38:20 - Rahul Patel (ADNOC Group D&CS) Okay got it.

1:38:23 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So I will just show the matrix the below here.

1:38:32 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) This Rasichat here so clearly return what to do so it is start from this process all process start from the code of order. Demand planning then arriving at Abu Dhabi here there is no only then deliver RIG site through MR, then invoice, then RIG return, then there is some other process we called, if many material required for some assembly, to go for third party workshops for modification, then again the modification will come back and they manage. Then another one, 12 months process of transfer, then 18 months process transfer. So in offshore, we implemented. So there is one more provision. Supplier can store for after the payment. So we opted the storage payment, actually. Onshore, they're delivering physically.

1:39:32 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) After 18 so this option, supplier will maintain the stock in their yard. I'd not to pay storage cost.

1:39:44 - Rahul Patel (ADNOC Group D&CS) After 18 months, if they continue in their own VMI storage location, then I'd not to have to pay the additional storage cost. Inventor continues in the VMI location.

1:39:53 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly. Why? Because we want to utilize all the other process, same as VMI, like the preparation, so on.

1:40:06 - Rahul Patel (ADNOC Group D&CS) Yeah, if it moves to your storage process of issuing the material changes.

1:40:11 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I think that's the reason. I'm not going to go to that option. And so we have KPI. Yeah, this is the KPI part of it. And this is the KPI actually. So they have to maintain up to six months. Yeah. So they have to maintain up to six months so then above six months also they should not maintain the score will vary so anything below six months they'll get zero score.

1:40:58 - Rahul Patel (ADNOC Group D&CS) I guess you are sharing okay yeah I am I was not yeah got it sorry so there is a scoring which they have to store minimum six months with them so that they can get maximum score.

1:41:14 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Okay, this is how you do the supplier performance for PMI suppliers.

1:41:26 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, currently there's audit and supplier performance at HQ level. So as part of the category, so they will conduct this analysis and they publish the score and supplier will prepare and we will validate in the document. There is one more reverse KP also there. This is the reverse KP actually.

1:41:48 - Rahul Patel (ADNOC Group D&CS) So you want to make sure that you are ensuring six months stock before the date of consumption, approximate date of consumption at VMI location. That's your KPI?

1:42:02 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) So they want to maintain availability of six months. Initially in AdNoc we used to have 12 to 24 months before we are made. So minimum we are keeping 12 months. So there is now the risk reduced because vendor is managing. They know the full visibility on manufacturing and all. So that's the reason safety stock we reduced to six months. So if anything below six months the risk for had no cooperation.

1:42:29 - Rahul Patel (ADNOC Group D&CS) The six month is from the date of consumption. So how do you calculate the six month?

1:42:34 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) No, date of arrival.

1:42:36 - Rahul Patel (ADNOC Group D&CS) No, no. With respect to what? Like date of arrival?

1:42:41 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Date of arrival to date of consumption. The date of consumption. The MR date? Plan, yeah. Plan. They will issue the plan when they're going to consume. So not actually the plan.

1:42:54 - Rahul Patel (ADNOC Group D&CS) So whatever manual planning we've done at the start of the project for which we've done the procurement, as per the consumption date in the plan, the stock should come six months before and in the VMI location.

1:43:07 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly.

1:43:09 - Rahul Patel (ADNOC Group D&CS) That's the metric you would like to push for or look for.

1:43:13 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Exactly. This plan will update on an offshore monthly basis and on short quarterly basis. So there's a flexibility. Suppose if we plan anywhere and if there is any change, so separate don't want to go for this KPI. So the changed plan, they'll apply for the KPI.

1:43:36 - Rahul Patel (ADNOC Group D&CS) Got it. So whatever is the revised final plan with respect to the KPI has to be celebrated because if anything is changed in the plan, you don't want it still going as per the original plan in the inventory.

1:43:48 - Unidentified Speaker Exactly.

1:44:03 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yeah, it's not. Yeah, if you don't mind sharing, uh, those documents, uh, yeah, I have this one today. Thank you. Yeah, you can send it to Do you have any questions?

1:44:31 - Santosh Kumar Sharma (ADNOC Group D&CS) No, no, we are good.

1:44:37 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, I am planning to attend physical actually today. Unfortunately, I got a training program. That's the reason I couldn't visit. Today. So next time we'll see.

1:44:49 - Conference Room (MM- SKEC2 - L08) - Speaker 1 No, no worries. We have another one tomorrow. Hopefully, maybe tomorrow.

1:44:55 - Unidentified Speaker Yeah, tomorrow.

1:45:00 - Conference Room (MM- SKEC2 - L08) - Speaker 2 Can you send the documents also from the last week and today?

1:45:04 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Yes.

1:45:04 - Unidentified Speaker Yeah.

1:45:05 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah. Last week I'll follow up. Yeah. So I didn't say so last week not with me. So I have to collect. So today when I I have it. I will share it.

1:45:14 - Unidentified Speaker Okay.

1:45:15 - Conference Room (MM- SKEC2 - L08) - Speaker 1 All right, team. Thank you so much for the walkthrough. So as next step, what we'll do is we're processing all this information. We have one more workshop tomorrow regarding supply planning. And then next step, would be to gather all this information. What we'll do is that we will also develop a process architecture, review it with you, and also we will gather the business requirement document. So we will develop a PRD.

1:46:08 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Also, an action item for ADNOC is to, similar to what we've discussed before, is to assign a process champion for inventory planning for MRO, sorry, not MRO, drilling. Just because if, let's say, we have one specific questions regarding the inventory planning, we don't need to do a full workshop. Have a session. And then also to review the documents that we create, make sure that we validate them.

1:46:53 - Conference Room (MM- SKEC2 - L08) - Speaker 1 From the team, are there any questions, folks from the call?

1:47:09 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) All right.

1:47:11 - Conference Room (MM- SKEC2 - L08) - Speaker 1 Thank you so much, everyone.

1:47:15 - Rahul Patel (ADNOC Group D&CS) Thank you. Bye.

1:47:17 - Khalid Sarfaraz (ADNOC Group D&CS) Thank you, everyone. Bye.

1:47:20 - Rahul Patel (ADNOC Group D&CS) Thanks, everyone.

1:47:30 - Unidentified Speaker you
