FW: Demand Planning - Drilling Materials 
jue, 19 de sep de 2024

0:16 - Khalid Sarfaraz (ADNOC Group D&CS) Assalamu alaikum, Ahmed.
1:37:10 - Fakhouri, Mohamad So, as next steps, what we'll do is we're going to keep on conducting meeting interviews. So, we have one for this afternoon regarding EPC projects, and then next week will be the inventory planning and supply planning. And then, from a data perspective, once we receive the data, we're going to review them and then see any gaps from technology also point of view. And then the next phase will become the desired phase where you'll see the best practices and you'll see the demo of SAP IBP.

1:37:57 - Fakhouri, Mohamad Are there any questions?

1:38:01 - Patel, Rahul Just one thing before we close. Is it possible to get the document which were discussed in this meeting offline for us for further review?

1:38:09 - Fakhouri, Mohamad Yes, please. Yeah, if we can, Khalid, if you can please send us the documents.

1:38:17 - Khalid Sarfaraz (ADNOC Group D&CS) Okay. Abdul, can you please help us in getting that? Yeah, I'll check. And is there any other teams also we need to consider for the drilling, Abdul?

1:38:31 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) Yeah, we have Hey langasha sitting in HQ and we have soul guests. So maybe I was who we can either check offline or the same requirement or So and anyhow, so we invited them maybe anyone Nabil or handle be available Like one more team we have for specific to ensure that is

1:38:56 - Mohammed Ashic (ADNOC Onshore - PD) the well-timed team and they they are they handle bit little bit different maybe manual excel sheet so it's better we have a small session with them also to identify their their demand planning okay okay so there's a session under the moral like the planning the chemical and other like outside system forecasting we have to So that is that is because uh, we can't include in mro because the way of planning is It's not mro the chemical and the tie-in So, okay, so we can include them.

1:39:42 - Abdul Lathief Muhammed Kunhi (ADNOC Offshore - IC) I'll give you the the focal point so we can yeah, we'll include them Yeah, so, uh, Khalid, so we have two more team maybe we can connect separately Yeah, one more thing Khalid, since quite many processes are getting executed

1:40:03 - Patel, Rahul outside SAP, probably it would be a good idea to understand of all these things what is in SAP and what is outside SAP because that helps us map.

1:40:14 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, so probably we need to connect with the digital, okay, we'll understand. So probably we need to connect to the digital focal points in the respective companies as well to understand from the digital perspective.

1:40:30 - Patel, Rahul Yes, what all things right now are in SAP or what are the plans for mapping those things in SAP so that from a data perspective when we talk of getting data in IBP we will have clarity what will come from where.

1:40:50 - Fakhouri, Mohamad Okay, thank you so much everyone This was a very effective meeting and thanks for your input.

1:41:03 - Khalid Sarfaraz (ADNOC Group D&CS) Thank you very much, everyone. Thank you. Thank you.

1:41:10 - Sheth, Kunal Have a good one. Bye.

1:41:25 - Unidentified Speaker you
