Demand Planning - Maintenance Downstream / Upstream MRO 
mié, 18 de sep de 2024

0:08 - Nabil Ghalib (ADNOC Group D&CS) I'll try to give you just a brief about your project, okay?
1:48:31 - Maria Terence (ADNOC Group D&CS) That's what I'm saying. But in case if I am saying I need to have this task to be generated for the next time for frequently for the next six months, then I will add in the task list. Yeah, so that because it because it will pick it will not update the order which is already created, but when there is a new order gets created, the new changes will automatically apply to that.

1:49:01 - Unidentified Speaker Okay.

1:49:03 - Maria Terence (ADNOC Group D&CS) Any other questions you have?

1:49:07 - Fakhouri, Mohamad So same thing. The requirement is also ability for the system to update the demand based on the updated maintenance plan. And another requirement is if there's an ad hoc change on the work order, we need to see if also SAP IPP can. Take that.

1:49:32 - Maria Terence (ADNOC Group D&CS) It's kind of like I will generate an order. I'll show you. So maybe this task list is holding some. I think I forgot to show your neck like you know components here. Let me show the components OK here for an example for the six monthly frequency. I don't have any components assigned OK, but when it comes to too early if I go to the components, You see I have attached a component here material. Yeah, so the way this planning is whenever this order is going to be called, you need to have this. The material is required, right? That is how it is planned here.

1:50:18 - Rohith Ellareddy ADNOC Offshore- OED) OK.

1:50:18 - Nabil Ghalib (ADNOC Group D&CS) I'm sure the schedule also dates Maria.

1:50:23 - Maria Terence (ADNOC Group D&CS) Next time. So. Now now we have a plan. Schedule will happen. There will be if I see this schedule call item. See last it start the plan started in 2020. That's a first order got created. So you'll have a start started and then followed by it as multiple six monthly. They have restarted this to have a complete. They wanted to have a six monthly And later they were introduced. They might have introduced a too early plan in the task list. There are different scenarios. I can include the packages also in between when I do some analysis and I thought like I need to add this along to this equipment based on the manufacturer conditions I can add it here. So now if you see here. So this is how the schedule this dates are calculated at the initial of the schedule where when I'm doing a play maintenance plan scheduling the dates will be calculated. Because this is like if you see it is six monthly apart.

1:51:26 - Maria Terence (ADNOC Group D&CS) Every six monthly you will see a difference here, like every six months you'll have 3430. 10 all are based on the six monthly. Because two year when it comes to two, there are two year. Also we have a two different cycles here. So for example when it is a hierarchy based strategy. This is a strategy for me. For example, this is called an OK, for example, hierarchy in the sense I have six monthly and two yearly package. So if I use this particular hierarchy strategy like I will not get the six monthly on this day too early.

1:53:07 - Fakhouri, Mohamad So for the plan.

1:53:25 - Fakhouri, Mohamad Does this happen quite often at AdNoc?

1:53:30 - Maria Terence (ADNOC Group D&CS) These are normally we schedule the orders like you're saying like changing the frequencies or you're talking about changing the frequency and changing these dates. Yeah, it also happens actually. Maybe from the business anyone like Avinash you can give a reason like when it gets changed.

1:53:51 - Snowvin Jayapal ADNOC Offshore- OED) Yes, yes, it happens frequently based on the recommendation by inspection team or by reliability team. If they find that this equipment is performing good enough, so why to spend the much more cost? So they just vary the frequency based on the performance of that equipment. They do the performance analysis. They study it. Yeah, and based on that, they recommend okay now you can change it uh based based on the failure rate all these things so that's that's a different science so based on that they they change this yeah understood okay yeah

1:54:35 - 1Rohith Ellareddy ADNOC Offshore- OED) so now the one basic question uh so for this uh mro or this uh inventory automated inventory planning through ibp Are we going to consider the work order on the bomb related materials? Are we going to consider all materials or is it something that we need to identify which material we need to plan?

1:54:59 - Rohith Ellareddy ADNOC Offshore- OED) So is it like all these materials we are going to keep it or we need to identify the materials which should be part of this IBP plan? Planning. First we need to identify that.

1:55:13 - Murugan Kaliaperumal (ADNOC - PE&ICV) All items in the system and which has been flagged for appropriate material type MRP type will be considered. 90% of the item will be considered for me. Only items flagged as ND might not be going into this process because it is not only suggesting MRP levels or inventory levels, it is also doing the MRP planned order activity. Right, which means it is doing the punishment activity also. So all items will be considered. Except those decided to be not to be planned. Items with levels will be considered.

1:55:54 - Rohith Ellareddy ADNOC Offshore- OED) OK. Then by default all MRP.

1:56:01 - Maria Terence (ADNOC Group D&CS) Now let me create a plan order from this plan. So that you can see how the materials are captured now. I'll do a scheduling here. I'm just using a manual creation to reduce the time.

1:56:19 - Maria Terence (ADNOC Group D&CS) So I'm just trying to create for manual call today. And for that 19 and then I'm just pushing for two yearly package so I can do a manual call here. So when I say manual call, the order is created. And based on the settings, there is a setting in the plan where it can determine whether the order is can be created at a realist status. So that workflow approval will be triggered on the save of the order or it can be created in the recreated status because it's not approved. So there is no workflow trigger or no commitment on the reservation is done. And during that creation, they will review it, and then they will submit for the approval again.

1:57:05 - 1Fakhouri, Mohamad I have a question regarding roles. So currently at AdNoc, who's creating the plan, and who's reviewing it? Who's approving it?

1:57:22 - Maria Terence (ADNOC Group D&CS) It's a master data. It's from the master data people. The plans will be, because the plans are created we have some programs like a cockpit program where they can do a mass upload or individual transactions they can utilize to create it. It is lying with the master data owners.

1:57:42 - Khalid Sarfaraz (ADNOC Group D&CS) Is it with the maintenance planners?

1:57:45 - Nabil Ghalib (ADNOC Group D&CS) No, each company can answer. I mean, Bandir is there, Rajiv, Sheraz, anyone can answer please, Avinash.

1:57:53 - Sheraz Kazi (ADNOC Refining - RRE) Who is creating the master data? Yeah, we have master data roles in each company and only those people selected people are authorized to create these maintenance plans. And the maintenance plans are created based on approval from reliability or inspection.

1:58:09 - Fakhouri, Mohamad But then once once they get created, it goes through an approval or. That's it.

1:58:16 - Sheraz Kazi (ADNOC Refining - RRE) So once the creation of the maintenance plan is approved, then it is created in the as a maintenance plan system. Once it is created, it will follow that is there. If there's any change of frequency required, then again it has an approval, then once the approval is received, then the frequencies can be changed.

1:58:35 - Fakhouri, Mohamad Okay, so the approval, let's say, happens outside of SAP?

1:58:40 - Sheraz Kazi (ADNOC Refining - RRE) Yes. In some companies, MOC change is required, but in some companies, it is right now manual, but working on to make it...

1:58:48 - Nabil Ghalib (ADNOC Group D&CS) Mohamed, we have a process approved in SAP that if they want to change any master data or create any master data they should use MOC process however it's not followed for all because especially from the for the master data from we are doing it from the SPIR like the material master we explain it in the project this could be explained further later.

1:59:11 - Fakhouri, Mohamad Okay okay yeah thank you.

1:59:14 - Maria Terence (ADNOC Group D&CS) Go ahead Maria.

2:00:47 - Maria Terence (ADNOC Group D&CS) So here, if I go to this, if I want to know, because here they have not updated the storage location, maybe that's why it is showing here, because in the task list, this is one of the information. In the task list, you don't have the storage location. So the user will come to the order. If I go to iw32, so system will ask when I go to this component amp, so will ask me to enter the storage location. I need to update the store location. If I go to the store location you can see the this is the unrestricted stock from this store. I have the eight entries of eight quantities, so if I choose the store up to 8 will like remaining quantities are missing.

2:01:30 - Maria Terence (ADNOC Group D&CS) That's an additional information we require.

2:01:33 - Sheraz Kazi (ADNOC Refining - RRE) Smart, yeah, we heard there is a look store for all at NOC. Right, so is it going to be a problem or a helpful? For IBP.

2:01:47 - Maria Terence (ADNOC Group D&CS) Morgan, I think Morgan will be able to answer.

2:01:52 - Murugan Kaliaperumal (ADNOC - PE&ICV) It's for IBP. If we consolidate Veros or if we work or decent list, it will not make a big difference. Unless until we use one code across companies, and then have levels across companies, like one level across company, then this will make a difference. Currently, even if you have a separate centralized store, you'll have levels per plant per company.

2:02:21 - Naamani, Mohamad I think that's a very important point. Thanks, Murugan, because consolidating physically where the items are will not help until, yes, everyone is using. So everyone basically across group companies they're using the same code or it's a common, let's say, naming convention. However, the good thing is as you do this progressively, one of our streams on the project you've seen is the data stream where we'll highlight certain recommendations. But as you do this over the next few months and even after we go live, IBP will automatically pick this up and benefit from that fine-tuning and refinement. Of the data. It's not related to that we will configure it now and it will take the snapshot and will not benefit from improvements. That's important because it's continuously integrated with the ERP. So as good as the data, and Nabil mentioned the accuracy of the data, as you work and consolidate, fine-tune, improve on that, it will be immediately picked up by IVP.

2:03:26 - Naamani, Mohamad back to you.

2:03:30 - Fakhouri, Mohamad I know we are at a time. Um, so Maria, thank you so much for the walkthrough. Um, if I may ask Maria if you can send us the deck that you've prepared so we can take a look at the process. And if we have any clarification, questions we can.

2:03:58 - Naamani, Mohamad And I think more also as a suggestion or next step for the audience as more mentioned if we have some questions. We'll share that with you so you can help us please with those questions. If we need to have a smaller discussion, I mean a shorter one with depending on the questions which group company or specific stakeholders are able to help. We can have those individual discussions just to also be dynamic. We don't need to have always the same bigger audience and official meetings. We'll play this in an agile way to get all the answers. Thanks everyone for the support.

2:04:38 - Fakhouri, Mohamad So just final comments before we close off. As next steps, as an exercise, so we'll need to assign a process champion for demand planning.

2:05:26 - Nabil Ghalib (ADNOC Group D&CS) Snowden you have something Snowden.

2:05:29 - 1Snowvin Jayapal ADNOC Offshore- OED) Yes, sir.

2:06:30 - Fakhouri, Mohamad maintenance engineer to plan accordingly like that just just a vague question I know this is so yeah so yeah apologies I didn't see your hand up so I'll answer in a brief and then I might ask how to jump into a bit more details. So SAP IBP does have this functionality and it especially will be used for new spare parts where you don't know the demand, let's say classification, but what you can do is you can assign, like you said, a material that has very similar attributes from a demand perspective, right? And then based on that, do your forecasting. All right, yeah.

2:07:17 - Murugan Kaliaperumal (ADNOC - PE&ICV) scenario what we are considering we'll have another discussion for projects maybe I think it's scheduled this week so there for all the materials which is coming through SP here this scenario used it will try to identify a similar item within our database and then propose the So it is the facility is there. We will be using it.

2:07:49 - Sumit Neeraj Kochhar (ADNOC Offshore - ITAEST) Even Murugan Sir, we're doing it here now also like identical items we are marking up.

2:07:55 - Naamani, Mohamad Yeah, Sebastian or actor you wanted to add something before we close.

2:07:59 - 1Sebastian Alba I think on this point just just to confirm so that this SAP IVP system won't be available or won't be. Doesn't have the capacity to identify which are the spare parts that can be replaced.

2:09:00 - Naamani, Mohamad Yeah so I think in design workshops we also discuss what is expected so that that IBP would know that these two items or this item can be a substitute for another, etc. Again, it's linked also to the data of this relationship, so we'll discuss it at length next. But the concept is valid because we need also to benefit from any similar, which you as business owners would know. You're the expert, you say these are two items from different manufacturer, different serial number, but in reality, if we're we can use one instead of the other.

2:09:36 - Murugan Kaliaperumal (ADNOC - PE&ICV) No, no, that alternative is not expected part of the scope. Interchangeability or a proposing alternative is not part of the scope expectation. What we are expecting in EPC project SPR is, if there is item say as impeller available in the SPR list or in the project proposed list, newly coded item.

2:10:22 - Naamani, Mohamad Fair enough. Yeah. Let's discuss this in details in the next session. These are the ones So we're basically we're aligned on how, what are the rules to do this?

2:10:32 - Bilal Dabash (ADNOC Gas - IOE) Murugan, I have one question if you allow me, that is the IPP solution will help for the also for the 3D materials, since 3D materials, maybe it will be applicable later on the front, in the different That is a

2:10:58 - Murugan Kaliaperumal (ADNOC - PE&ICV) manufacturing process sir. It has nothing to do with that. That is one of the manufacturing process. This output of this particular project is to provide, propose inventory levels which is minimum maximum safety and do the replenishment process, creating a PR or creating a stock transfer order or creating a call up order. So, that is all is the deliverables of this project. Part of automation. There is another scope in this is that after this automation is done, all items in one ERP, they will evaluate all the items and propose a new level. So this is also part of this one time, one time job before we go live.

2:11:44 - Bilal Dabash (ADNOC Gas - IOE) Including the digital warehouse or let's say name it digital.

2:11:51 - Rohith Ellareddy ADNOC Offshore- OED) will be as a report right sir Murugan this proposal will be as a report which we can generate.

2:11:57 - Murugan Kaliaperumal (ADNOC - PE&ICV) It will be the data data directly it will propose on the data if the concerned team the focal points of individual companies approve then there will be a live data made as live data. Okay. That levels will be used for future replenishment after go live.

2:12:12 - Rohith Ellareddy ADNOC Offshore- OED) Okay on live data so you will not be giving a report like the see a It would also be proposing as a report right based on the demand forecast. Again, I'm repurposing a minimum value or maximum value. It should be like a report whenever I want to generate. So is it part of the scope?

2:12:32 - Murugan Kaliaperumal (ADNOC - PE&ICV) You mean tracking of old and new data?

2:12:35 - Rohith Ellareddy ADNOC Offshore- OED) Yeah, see this replenish. Data replenishment value or whatever is the proposal that is going to come as part of this IBP demand and forecast. Analysis this has to be like a report right for me like a report that should be the outcome of the project right as um either like a kpi report or like a normal report if it is coming based on that we can you can you can directly change the master data that's fine but it should be available as a report also right okay the master data changes, it is going to change only the inventory levels, three levels one

2:13:19 - Murugan Kaliaperumal (ADNOC - PE&ICV) time, right?

2:13:19 - Unidentified Speaker Correct.

2:13:20 - Murugan Kaliaperumal (ADNOC - PE&ICV) Thereafter, once we go live, periodically and regular basis, it is going to propose changes. There is a demand changing, it will propose a level change.

2:13:29 - Rohith Ellareddy ADNOC Offshore- OED) It will propose means, it will show me as report, correct? It will show me as report output.

2:13:33 - Murugan Kaliaperumal (ADNOC - PE&ICV) Yeah, of course, it comes in excel format, okay. They might show a demo in different sessions. It will only propose in excel format. The data comes down. The user then decides whether accepting that proposal or going by the original data. Once the user who is running that report accepts on the proposed parameter, the data is saved. So, there is a manual intervention on every item level proposed. The system is not generated or will not be made in such a way it is updating overnight, no.

2:14:07 - Fakhouri, Mohamad Yes.

2:14:08 - Nabil Ghalib (ADNOC Group D&CS) Thank you. Khalid, are you there?

2:14:12 - Rajiv Kumar Gupta (ADNOC - PE&ICV) Mama, I have one question for this forecast accuracy part. So do you have such functionality that how this IVP system you know generated the forecast? How accurate it is? Right, this is one of the KPI, right?

2:14:33 - Fakhouri, Mohamad Yes, it will be.

2:14:55 - Naamani, Mohamad Please add it also as discussed on the chat, because we captured all those questions, so we use them as input for the next sessions of design.

2:15:04 - Rajiv Kumar Gupta (ADNOC - PE&ICV) Yeah, because the system will generate the forecast and on top of that he will manually adjust the forecast, right? So how the system...

2:15:11 - Naamani, Mohamad Definitely valid question. The point is we don't want to give quick answers or short ones because we owe you also those design discussions, how things will work, etc. That's why we'd like to capture it. And now that we understood how we function today, we'll couple this with the question so that as we discuss the design, we'll take that into consideration. So please, Rajiv, help us. And write it on chat and we'll take it from there.

2:15:35 - Rajiv Kumar Gupta (ADNOC - PE&ICV) And the second question is, during this IBP, we will change the inventory parameter as well. So for inventory parameter, we have MDG process. Will IBP has capability to raise a CR and assign to the respective cataloging team or how it will?

2:15:54 - Naamani, Mohamad Yeah, let's add it because we're already some people.

2:16:01 - Murugan Kaliaperumal (ADNOC - PE&ICV) a point, but then it will not do that will it it is like a time consuming process. It will item by item as I said the whoever is trying to run analysis using this tool, it is going to generate a report excel sheet. If he corrects it, it is going and saving. He needs to align and consult stakeholders, if he wants to change the level and then save it or else there is a tracking system who did the changes. That's how it will go about. It is not viable to create a MDG and then pass it on. It takes its own free time to do this.

2:16:45 - Rajiv Kumar Gupta (ADNOC - PE&ICV) Yeah, we will add this as a point in the chat. Thank you.

2:16:49 - Khalid Sarfaraz (ADNOC Group D&CS) Thank you, Rajiv. Thank you everyone. I believe if you have further questions.

2:16:58 - Sheraz Kazi (ADNOC Refining - RRE) one can tell me. So is there any aspect of AI in this whole IBP program?

2:17:03 - Khalid Sarfaraz (ADNOC Group D&CS) Yeah, there is.

2:17:13 - Murugan Kaliaperumal (ADNOC - PE&ICV) This is yeah. This is one of the simplest example I will say is that first time while item is created, where does this item gets the data from So it looks for a similar specification and finds a related parameter available or used for that item or if there is no parameter it goes by the consumption pattern of that particular item and proposes you from this item we propose so and so parameter. So, there is a facility yes and we will be using it for sure for all newly created items where we do not have past data.

2:17:53 - Murugan Kaliaperumal (ADNOC - PE&ICV) That was the one advantage over somebody asked a question, there is SAP already doing this calculation, why do we go for a other tool? This was one reason why we went for other tool, that SAP cannot find a similar item and propose a level, means the default SAP tool.

2:18:16 - Sheraz Kazi (ADNOC Refining - RRE) Yes, yes, I had asked this question that, you know, even at maximal times, yeah, there was automatic lead time calculation, there was automatic, you know, economic order quantity calculations, but they were disabled in maximal times also probably in step

2:18:32 - Murugan Kaliaperumal (ADNOC - PE&ICV) also. They go by only conception data, available conception data in the system. Okay, the past history, so this program will look at the future forecast Forecast future plus a similar item it can find out and say propose that. Based on this item, we it will propose the levels. So accepting and not accepting is based on the guy who is reviewing the title.

2:18:58 - Sheraz Kazi (ADNOC Refining - RRE) Just as a point that do you think this would increase the balloon the inventory levels by implementing this program or it will reduce?

2:19:07 - Murugan Kaliaperumal (ADNOC - PE&ICV) We don't manually interfere. It will increase inventory. Yes, HI, Human Intervention, is mandate whenever a level change is proposed or even a PR quantity is proposed, a manual intervention to approve is mandatory.

2:19:25 - Fakhouri, Mohamad Okay, thank you, sir.

2:19:42 - Nabil Ghalib (ADNOC Group D&CS) I would like to thank you all, you really did an excellent job, excellent interactive and thank you also for the maintenance team to join us all from the site and provide their expertise and thank you Maria for the excellent presentation. Khaled, just for the chat and the questions, please try to gather all these questions and let's address them all.

2:20:03 - Khalid Sarfaraz (ADNOC Group D&CS) Yes, that's a very key information for the project. And thank you, Nabil, and thank you, Maria, and your team, everyone, and whoever attended the meeting, whoever provided their feedback. We really appreciate it. So this is in the favor of the AdNoc to, you know, all together, work together in collaboration to help in this project, you know, for the inventory optimization and the planning. So thank you very much. It's really appreciated. It's not only optimization, Khaled.

2:20:32 - Nabil Ghalib (ADNOC Group D&CS) We need to ensure the plant are running 100%, no shutdown at all.

2:20:36 - SALEM ABDULLA AL BLOOSHI (ADNOC Offshore - MATCATT) Yes, yes, yes, you
